MES,SUDESTE,SUL,NORDESTE,NORTE
jul.-06,"90,9","91,44","30,61","90,9"
ago.-06,"104,98","105,19","51,94","104,98"
set.-06,"123,88","123,88","68,56","123,88"
out.-06,"92,42","92,42","46,25","92,42"
nov.-06,"80,82","80,82","24,4","80,82"
dez.-06,"58,75","59,18","17,58","45,23"
jan.-07,"22,62","26,28","17,59","17,59"
fev.-07,"17,59","17,59","17,59","17,59"
mar.-07,"17,59","17,59","17,59","17,59"
abr.-07,"49,36","49,05","28,07","24,25"
mai.-07,"59,96","23,48","53,37","53,37"
jun.-07,"97,15","59,42","97,19","97,35"
jul.-07,"122,59","122,19","118,94","122,87"
ago.-07,"39,27","36,13","45,81","44,36"
set.-07,"149,53","149,8","149,11","149,53"
out.-07,"198,13","198,13","197,45","198,13"
nov.-07,"185,11","185,11","185,11","185,11"
dez.-07,"204,93","204,93","204,93","204,93"
jan.-08,"502,45","502,45","497,61","502,45"
fev.-08,"200,42","200,65","214,37","200,43"
mar.-08,"124,7","127,41","123,24","117,67"
abr.-08,"68,8","72,12","71,92","50,97"
mai.-08,"34,18","34,19","34,42","27,61"
jun.-08,"76,2","76,2","75,34","75,34"
jul.-08,"108,42","108,42","108,42","108,42"
ago.-08,"102,79","101,21","102,79","102,79"
set.-08,"109,93","109,4","109,91","109,93"
out.-08,"92,43","92,17","92,43","92,43"
nov.-08,"106,14","93,77","106,14","106,14"
dez.-08,"96,97","96,93","96,97","96,97"
jan.-09,"83,64","83,66","77,77","77,82"
fev.-09,"52,08","66,15","27,41","27,41"
mar.-09,"90,87","91,28","84,25","24,96"
abr.-09,"46,46","48,73","27,79","16,31"
mai.-09,39,"39,1","30,17","16,31"
jun.-09,"40,84","40,84",30,"23,14"
jul.-09,"30,43","30,43","25,55","25,55"
ago.-09,"16,31","16,31","16,31","16,31"
set.-09,"16,31","16,31","16,31","16,31"
out.-09,"16,31","16,31","16,31","16,31"
nov.-09,"16,31","16,31","16,31","16,31"
dez.-09,"16,31","16,31","16,31","16,31"
jan.-10,"12,91","12,91","12,91","12,91"
fev.-10,"13,82","13,82","15,91","13,82"
mar.-10,"27,24","27,24","30,38","27,24"
abr.-10,"21,47","21,47","24,62","21,46"
mai.-10,"32,34","30,1","33,99","32,35"
jun.-10,"67,7","67,7","69,4","69,4"
jul.-10,"89,61","89,61","97,56","97,56"
ago.-10,"116,66","116,66","123,56","123,55"
set.-10,"132,1","131,78","189,37","189,37"
out.-10,"137,78","137,78","232,48","232,48"
nov.-10,"116,68","116,68","115,05","116,68"
dez.-10,"71,62","71,62","68,69","71,62"
jan.-11,"28,19","28,19","28,96","28,16"
fev.-11,"49,59","41,85","50,39","49,33"
mar.-11,"23,41","20,95","24,91","23,31"
abr.-11,"12,2","12,2","12,2","12,2"
mai.-11,"17,35","17,35","17,24","17,24"
jun.-11,"31,8","31,8","31,75","31,75"
jul.-11,"23,08","22,66","23,13","23,13"
ago.-11,"19,61","15,92","19,62","19,62"
set.-11,"21,18","16,98","21,18","21,18"
out.-11,"37,14","37,04","37,14","37,14"
nov.-11,"45,55","45,55","45,55","45,55"
dez.-11,"44,47","44,47","37,37","37,37"
jan.-12,"23,14","23,14","12,92","12,92"
fev.-12,"50,67","50,67","12,57","12,57"
mar.-12,"124,97","124,97","109,12","109,12"
abr.-12,"192,7","195,75","182,68","182,68"
mai.-12,"180,94","180,94","180,37","180,37"
jun.-12,"118,49","118,49","118,65","118,49"
jul.-12,"91,24","91,24","91,24","91,24"
ago.-12,"119,08","119,05","119,08","119,08"
set.-12,"182,94","182,94","183,3","183,3"
out.-12,"280,39","280,39","294,82","294,82"
nov.-12,"375,54","375,54","375,54","375,54"
dez.-12,"259,57","259,57","253,24","253,24"
jan.-13,"413,95","413,95","409,76","409,76"
fev.-13,"214,54","214,54","212,59","212,59"
mar.-13,"339,75","339,75","339,84","339,4"
abr.-13,"196,13","196,13","197,38","196,13"
mai.-13,"344,84","344,84","344,94","344,84"
jun.-13,"207,62","204,1","207,94","207,67"
jul.-13,"121,29","102,59","121,61","121,35"
ago.-13,"163,38","145,56","164,69","163,38"
set.-13,"266,16","248,36","269,1","269,1"
out.-13,"260,99","213,92","270,23","262,48"
nov.-13,"331,07","331,07","331,07","331,07"
dez.-13,"290,72","290,72","291,86","290,72"
jan.-14,"378,22","378,22","379,35","364,8"
fev.-14,"822,83","822,83","755,9","452,44"
mar.-14,"822,83","822,83","756,37","696,21"
abr.-14,"822,83","822,83","744,28","640,73"
mai.-14,"806,97","806,97","772,21","334,59"
jun.-14,"412,65","206,99","412,6","412,6"
jul.-14,"592,54","503,1","592,54","592,54"
ago.-14,"709,53","709,53","709,53","709,53"
