mes,no,no_pai,pld_sub,exposicao_sub,ticker,compra_mwm,venda_mwm,saldo_mi
2026-03-01,14,5,255.18,-1.8985392e7,S26MAR3,0.0,100.0,955.354
2026-03-01,14,5,255.18,-1.8985392e7,S26MAR6,0.0,100.0,955.354
2026-03-01,14,5,785.27,5.8424088e7,SE26MAR1,100.0,0.0,955.354
2026-03-01,14,5,785.27,5.8424088e7,SE26MAR3,100.0,0.0,955.354
2026-03-01,14,5,785.27,5.8424088e7,SE26MAR6,100.0,0.0,955.354
2026-03-01,15,5,57.31,4.263864e6,N26MAR1,100.0,-0.0,51.672
2026-03-01,15,5,57.31,4.263864e6,N26MAR3,100.0,-0.0,51.672
2026-03-01,15,5,57.31,4.263864e6,N26MAR6,100.0,-0.0,51.672
2026-03-01,15,5,57.31,4.263864e6,NE26MAR1,100.0,-0.0,51.672
2026-03-01,15,5,57.31,4.263864e6,NE26MAR3,100.0,-0.0,51.672
2026-03-01,15,5,57.31,4.263864e6,NE26MAR6,100.0,-0.0,51.672
2026-03-01,15,5,57.31,4.263864e6,S26MAR1,100.0,-0.0,51.672
2026-03-01,15,5,57.31,-4.263864e6,S26MAR3,-0.0,100.0,51.672
2026-03-01,15,5,57.31,-4.263864e6,S26MAR6,-0.0,100.0,51.672
2026-03-01,15,5,57.31,4.263864e6,SE26MAR1,100.0,-0.0,51.672
2026-03-01,15,5,57.31,4.263864e6,SE26MAR3,100.0,-0.0,51.672
2026-03-01,15,5,57.31,4.263864e6,SE26MAR6,100.0,-0.0,51.672
2026-03-01,16,5,97.21,7.232424e6,N26MAR1,100.0,-0.0,166.437
2026-03-01,16,5,97.21,7.232424e6,N26MAR3,100.0,-0.0,166.437
2026-03-01,16,5,97.21,7.232424e6,N26MAR6,100.0,-0.0,166.437
2026-03-01,16,5,177.0,1.31688e7,NE26MAR1,100.0,-0.0,166.437
2026-03-01,16,5,177.0,1.31688e7,NE26MAR3,100.0,-0.0,166.437
2026-03-01,16,5,177.0,1.31688e7,NE26MAR6,100.0,-0.0,166.437
2026-03-01,16,5,214.37,1.5949128e7,S26MAR1,100.0,-0.0,166.437
2026-03-01,16,5,214.37,-1.5949128e7,S26MAR3,-0.0,100.0,166.437
2026-03-01,16,5,214.37,-1.5949128e7,S26MAR6,-0.0,100.0,166.437
2026-03-01,16,5,228.61,1.7008584e7,SE26MAR1,100.0,-0.0,166.437
2026-03-01,16,5,228.61,1.7008584e7,SE26MAR3,100.0,-0.0,166.437
2026-03-01,16,5,228.61,1.7008584e7,SE26MAR6,100.0,-0.0,166.437
2026-03-01,17,6,506.38,3.7674672e7,N26MAR1,100.0,0.0,738.309
2026-03-01,17,6,506.38,3.7674672e7,N26MAR3,100.0,0.0,738.309
2026-03-01,17,6,506.38,-3.7674672e7,N26MAR6,0.0,100.0,738.309
2026-03-01,17,6,785.27,5.8424088e7,NE26MAR1,100.0,0.0,738.309
2026-03-01,17,6,785.27,5.8424088e7,NE26MAR3,100.0,0.0,738.309
2026-03-01,17,6,785.27,5.8424088e7,NE26MAR6,100.0,0.0,738.309
2026-03-01,17,6,255.18,-1.8985392e7,S26MAR1,0.0,100.0,738.309
2026-03-01,17,6,255.18,-1.8985392e7,S26MAR3,0.0,100.0,738.309
2026-03-01,17,6,255.18,-1.8985392e7,S26MAR6,0.0,100.0,738.309
2026-03-01,17,6,785.27,5.8424088e7,SE26MAR1,100.0,0.0,738.309
2026-03-01,17,6,785.27,5.8424088e7,SE26MAR3,100.0,0.0,738.309
2026-03-01,17,6,785.27,5.8424088e7,SE26MAR6,100.0,0.0,738.309
2026-03-01,18,6,57.31,4.263864e6,N26MAR1,100.0,-0.0,-69.108
2026-03-01,18,6,57.31,4.263864e6,N26MAR3,100.0,-0.0,-69.108
2026-03-01,18,6,57.31,-4.263864e6,N26MAR6,-0.0,100.0,-69.108
2026-03-01,18,6,57.31,4.263864e6,NE26MAR1,100.0,-0.0,-69.108
2026-03-01,18,6,57.31,4.263864e6,NE26MAR3,100.0,-0.0,-69.108
2026-03-01,18,6,57.31,4.263864e6,NE26MAR6,100.0,-0.0,-69.108
2026-03-01,18,6,57.31,-4.263864e6,S26MAR1,-0.0,100.0,-69.108
2026-03-01,18,6,57.31,-4.263864e6,S26MAR3,-0.0,100.0,-69.108
2026-03-01,18,6,57.31,-4.263864e6,S26MAR6,-0.0,100.0,-69.108
2026-03-01,18,6,57.31,4.263864e6,SE26MAR1,100.0,-0.0,-69.108
2026-03-01,18,6,57.31,4.263864e6,SE26MAR3,100.0,-0.0,-69.108
2026-03-01,18,6,57.31,4.263864e6,SE26MAR6,100.0,-0.0,-69.108
2026-03-01,19,6,97.21,7.232424e6,N26MAR1,100.0,-0.0,16.35
2026-03-01,19,6,97.21,7.232424e6,N26MAR3,100.0,-0.0,16.35
2026-03-01,19,6,97.21,-7.232424e6,N26MAR6,-0.0,100.0,16.35
2026-03-01,19,6,177.0,1.31688e7,NE26MAR1,100.0,-0.0,16.35
2026-03-01,19,6,177.0,1.31688e7,NE26MAR3,100.0,-0.0,16.35
2026-03-01,19,6,177.0,1.31688e7,NE26MAR6,100.0,-0.0,16.35
2026-03-01,19,6,214.37,-1.5949128e7,S26MAR1,-0.0,100.0,16.35
2026-03-01,19,6,214.37,-1.5949128e7,S26MAR3,-0.0,100.0,16.35
2026-03-01,19,6,214.37,-1.5949128e7,S26MAR6,-0.0,100.0,16.35
2026-03-01,19,6,228.61,1.7008584e7,SE26MAR1,100.0,-0.0,16.35
2026-03-01,19,6,228.61,1.7008584e7,SE26MAR3,100.0,-0.0,16.35
2026-03-01,19,6,228.61,1.7008584e7,SE26MAR6,100.0,-0.0,16.35
